category_name,item_id,item_name,price,item_code,barcode,tags,inventory_tags
Add- Ons,2418285,Parmesan,8.0,"","","",""
Add- Ons,1216895,PARMESAN TRUFFLE FRIES,34.2857,"","","",Recipe
Mojitos,2101939,PASSION FRUIT MOJITO,36.0,"","","",""
CERAMIC'S,2824994,Patterned Serving Bowl XL,570.0,"","","",""
Smoothies,2101994,Pb&J Smoothie,34.0,"","","",Recipe
Iced Tea,2101938,Peach Paradise,31.0,"","","",Recipe
Deserts,1916771,Peanut Butter Tart,44.0,"","","",Recipe
Ourdough Hot BEVERAGES,2991144,Piccolo,22.0,"","","",""
Coffee,1224600,Piccolo,22.0,"","","",Recipe
Pressed Juices,1224590,Pineapple,24.0,"","","",Recipe
CANDLES,2825180,Pink Musk 300g Candle,190.0,"","","",""
Sweet Ends,2635563,Pistachio Tahini Kunafa  Crunch,0.0,"","","",""
Deserts,2897138,Plain Croissant,19.0,"","","",""
Display,1224732,PLAIN CROISSANT,16.0,"","","",Recipe
CERAMIC'S,2824993,Pleated Serving - Large,550.0,"","","",""
CERAMIC'S,2824982,Pleated Serving - Small,450.0,"","","",""
CLOTHING,2731646,Pony Tail Cream,35.0,"","","",""
CLOTHING,2731644,Pony Tail Olive,35.0,"","","",""
CLOTHING,2731648,Pony Tail Terracotta,35.0,"","","",""
ACCESSORIES,2731604,POUCH CREAM,155.0,"","","",""
ACCESSORIES,2731605,POUCH DUSK PINK,155.0,"","","",""
ACCESSORIES,2731603,POUCH GREY SMALL,155.0,"","","",""
MESHTAKHA,3193080,Prayer Mat ( BROWN),220.0,"","","",""
MESHTAKHA,3193081,Prayer Mat ( Gray),220.0,"","","",""
Breakfast,2877342,Protein Omelette,62.0,"","","",""
Coffee,2257392,Pumkin Spicy Latte,33.333,"","","",""
Signatures,2435106,Pumkin Spicy Latte,36.0,"","","",""
ATHAR,3193729,QURAN,75.0,"","","",""
HEAL HOME STORE NEW,2008442,RAMADAN CARD,8.0,"","","",""
Mojitos,2101941,Raspberry Mojito,38.0,"","","",""
TESTER HEAL RETAIL,3021475,RAW OUD BURNER-ESSENCE,0.0,"","","",""
ESSENCE FRAGRANCE,2547718,RAW OUD BURNER-ESSENCE,265.0,"","","",""
MESHTAKHA,3193090,REGULAR TULIP MAT( PEACH),195.0,"","","",""
MESHTAKHA,3193089,REGULAR TULIP MAT( TIFFANY),195.0,"","","",""
MESHTAKHA,3193085,REGULAR ZIGZAG PRAYER MAT (BEIGE),155.0,"","","",""
Mains/ Pasta,2645941,Ribeye & Bone Marrow,180.0,"","","",""
 Ourdough Starters,2728756,Roasted Feta,46.0,"","","",""
Add- Ons,2433608,ROASTED VEGGIES,26.666,"","","",""
CLOTHING,2760741,ROBE BEIGE,260.0,"","","",""
CLOTHING,2760742,ROBE CREAM,260.0,"","","",""
CLOTHING,2779030,ROBE DUSK PINK,260.0,"","","",""
CLOTHING,2731631,ROBE OLIVE,260.0,"","","",""
CLOTHING,2731641,Robe Terracotta,260.0,"","","",""
CLOTHING,2731633,ROBE WHITE,260.0,"","","",""
CLOTHING,2757909,ROBE YELLOW,260.0,"","","",""
ESSENCE FRAGRANCE,2547720,"ROLLER  MUSK  SET X3 SAFFRON,OUD,WARD-ESSENCE",265.0,"","","",""
HOME FRAGRANCE,2731723,ROSE HOME FRAGRANCE,180.0,"","","",""
CANDLES,2731703,Rose One-Wick Candle,140.0,"","","",""
HEAL HOME STORE NEW,1603292,ROUND POT VASE,350.0,"","","",""
THRA,3193099,SAAF MADKAN,165.0,"","","",""
Deserts,2934057,Saffron Milk Cake,48.0,"","","",""
Breakfast,1754417,Salmon Benedict,69.0,"","","",Recipe
Add- Ons,2433616,Salmon Cubes,19.047,"","","",""
Salads & Bowls,1613229,Salmon Poke Bowl,64.0,"","","",Recipe
Deserts,1331726,Salted Cookies,16.0,"","","",Recipe
TESTER HEAL RETAIL,2952896,SAMPLE MUSK 01,0.0,"","","",""
ESSENCE FRAGRANCE,2547693,SANDAL  100ML PERFUME-ESSENCE,290.0,"","","",""
Add- Ons,2433606,SAUTED BROCCOLINI AND LEAKS,28.57,"","","",""
Add- Ons,1216832,Sauted Mushroom (vegan/gluten-free),10.0,"","","",Recipe
Add- Ons,1216831,Sauteed Spinach (vegan/gluten-free),10.0,"","","",Recipe
Add- Ons,1216894,SAUTEED VEGETABLES,20.0,"","","",Recipe
ESSENCE FRAGRANCE,2547713,SCENTED OUD BURNER-ESSENCE,335.0,"","","",""
Mains/ Pasta,2645939, Seabass Roasted,92.0,"","","",""
Mains/ Pasta,2877445,Seafood Risotto,92.0,"","","",""
Add- Ons,1224581,Seard  Shrimps,20.0,"","","",Recipe
HOME FRAGRANCE,2731714,SERENE HOME FRAGRANCE,180.0,"","","",""
